"Importado","AireAcondicionado","Codigo","Cilindraje","Potencia"
0,0,1603011,6000,170
0,0,1603012,12000,228
0,0,1603013,6000,167
0,0,1603014,6000,167
0,0,1603016,7500,167
0,0,1603017,3856,104
0,0,1603018,3856,104
0,0,1603019,0,175
0,0,1603020,0,175
0,0,1603021,12023,273
0,0,1603022,6000,0
0,0,1603023,7200,207
0,0,1603024,0,0
0,0,1603027,2771,94
0,0,1603029,7127,202
0,0,1603030,7127,202
1,0,1603032,12068,360
0,0,1603035,4570,119
0,0,1603036,4570,119
0,0,1603037,8200,165
0,0,1603038,4570,119
0,0,1603040,3856,104
0,0,1603080,7200,207
0,0,1603081,7500,167
0,0,1603084,12000,228
0,0,1603100,2771,95
0,0,1603103,4570,119
0,0,1603104,4570,119
0,0,1603105,4570,119
